round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
First,Nathan Healey,6-2 6-3 ret.,2006,m,Nathan Healey,Filippo Volandri,55%,67%,78%,52%,68%,33%,42%,50%,54%,26%,71%,48%
First,Boris Pashanski,6-3 6-4 4-6 7-6(2),2006,m,Boris Pashanski,Wayne Arthurs,67%,47%,74%,79%,68%,49%,33%,20%,37%,28%,82%,52%
First,Janko Tipsarevic,1-6 6-4 4-6 6-2 6-4,2006,m,Janko Tipsarevic,Andreas Seppi,53%,48%,68%,71%,51%,46%,50%,50%,42%,40%,60%,76%
First,Amer Delic,7-5 6-7(3) 6-3 3-6 6-3,2006,m,Amer Delic,Potito Starace,61%,75%,71%,65%,54%,61%,33%,25%,36%,36%,66%,58%
First,Fernando Verdasco,7-6(5) 6-4 6-4,2006,m,Fernando Verdasco,Kenneth Carlsen,63%,56%,84%,76%,54%,47%,13%,0%,37%,27%,67%,83%
First,Roger Federer,6-2 6-3 6-2,2006,m,Roger Federer,Denis Istomin,69%,64%,83%,58%,57%,37%,55%,33%,49%,25%,81%,57%
First,Kristof Vliegen,6-3 6-1 6-4,2006,m,Kristof Vliegen,Christophe Rochus,66%,57%,79%,54%,47%,50%,75%,20%,48%,32%,52%,56%
First,Juan Carlos Ferrero,7-5 6-0 6-2,2006,m,Juan Carlos Ferrero,Tomas Zib,57%,63%,73%,54%,67%,37%,67%,67%,53%,30%,67%,53%
First,Raemon Sluiter,6-4 2-6 6-2 6-4,2006,m,Raemon Sluiter,Pavel Snobel,57%,46%,78%,64%,61%,58%,38%,75%,39%,29%,74%,45%
First,Paul Goldstein,6-2 1-6 6-3 6-2,2006,m,Paul Goldstein,Novak Djokovic,62%,62%,71%,62%,45%,42%,32%,23%,46%,39%,61%,66%
First,Dick Norman,6-4 7-6(6) 5-7 0-6 6-3,2006,m,Dick Norman,Zack Fleishman,63%,52%,72%,69%,33%,53%,46%,32%,39%,42%,70%,53%
First,Luis Horna,6-4 7-5 6-1,2006,m,Luis Horna,Gael Monfils,84%,51%,73%,70%,67%,42%,55%,50%,44%,28%,79%,55%
First,Tommy Haas,6-2 7-5 6-2,2006,m,Tommy Haas,Richard Gasquet,62%,50%,79%,64%,54%,51%,60%,9%,42%,31%,88%,58%
First,Juan Monaco,4-6 6-2 6-4 6-3,2006,m,Juan Monaco,Jean-Rene Lisnard,58%,37%,68%,80%,56%,40%,50%,31%,46%,37%,61%,71%
First,Peter Luczak,7-6(4) 7-6(5) 6-4,2006,m,Peter Luczak,Ivo Minar,64%,53%,78%,81%,68%,66%,50%,33%,26%,25%,73%,56%
First,Davide Sanguinetti,7-6(5) 6-3 6-2,2006,m,Davide Sanguinetti,Jacob Adaktusson,57%,54%,77%,65%,63%,42%,42%,25%,46%,29%,54%,78%
First,Igor Andreev,7-5 6-4 6-3,2006,m,Igor Andreev,Nicolas Almagro,64%,73%,75%,59%,53%,58%,42%,40%,41%,33%,64%,57%
First,Lleyton Hewitt,6-4 2-6 5-7 7-6(4) 6-3,2006,m,Lleyton Hewitt,Robin Vik,58%,63%,64%,68%,36%,30%,43%,31%,44%,46%,63%,67%
First,Sebastien Grosjean,6-4 6-2 6-3,2006,m,Sebastien Grosjean,Mark Philippoussis,45%,59%,74%,58%,76%,47%,67%,50%,46%,25%,65%,53%
First,Max Mirnyi,6-3 3-6 6-1 6-7(4) 6-0,2006,m,Max Mirnyi,Thierry Ascione,74%,76%,73%,66%,53%,42%,58%,17%,40%,32%,60%,54%
First,Nicolas Kiefer,6-7(5) 4-6 7-6(5) 6-1 6-2,2006,m,Nicolas Kiefer,Paradorn Srichaphan,47%,48%,72%,57%,53%,40%,63%,54%,49%,36%,71%,56%
First,Paul-Henri Mathieu,6-3 7-6(4) 6-3,2006,m,Paul-Henri Mathieu,Arnaud Clement,58%,57%,73%,71%,52%,39%,57%,29%,43%,36%,63%,71%
First,Federico Luzzi,6-1 6-4 7-5,2006,m,Federico Luzzi,Juan-Antonio Marin,55%,60%,87%,61%,46%,53%,50%,67%,42%,31%,82%,53%
First,Olivier Rochus,6-4 6-2 6-2,2006,m,Olivier Rochus,Michael Llodra,66%,58%,71%,67%,84%,42%,71%,0%,44%,25%,71%,47%
First,Juan Ignacio Chela,6-1 6-3 6-3,2006,m,Juan Ignacio Chela,Andy Murray,64%,51%,70%,64%,67%,45%,63%,0%,45%,31%,68%,69%
First,Bjorn Phau,6-4 7-6(3) 2-6 7-6(4),2006,m,Bjorn Phau,Carlos Berlocq,51%,57%,63%,60%,51%,49%,67%,53%,45%,43%,66%,51%
First,Guillermo Coria,6-4 1-6 4-6 6-2 6-1,2006,m,Guillermo Coria,Victor Hanescu,69%,68%,57%,54%,24%,27%,43%,42%,53%,51%,69%,51%
First,Alex Jr. Bogomolov,4-6 7-6(6) 6-3 6-7(3) 7-5,2006,m,Alex Jr. Bogomolov,Fernando Gonzalez,71%,55%,64%,71%,34%,38%,69%,36%,40%,43%,51%,69%
First,Nikolay Davydenko,7-5 4-6 3-6 7-5 6-3,2006,m,Nikolay Davydenko,Ivo Karlovic,81%,64%,73%,79%,55%,41%,27%,22%,33%,29%,75%,50%
First,Kevin Kim,6-4 6-4 6-0,2006,m,Kevin Kim,Harel Levy,62%,63%,72%,58%,54%,37%,67%,13%,50%,34%,67%,61%
First,Lars Burgsmuller,3-6 6-3 7-6(2) 6-3,2006,m,Lars Burgsmuller,Rainer Schuettler,57%,57%,68%,67%,44%,44%,70%,40%,43%,42%,60%,58%
First,Gaston Gaudio,6-2 5-0 ret.,2006,m,Gaston Gaudio,Razvan Sabau,55%,51%,83%,57%,53%,27%,45%,50%,58%,31%,60%,38%
First,Feliciano Lopez,6-2 7-5 6-3,2006,m,Feliciano Lopez,Tomas Behrend,54%,59%,83%,64%,64%,47%,26%,0%,43%,26%,67%,69%
First,Daniele Bracciali,6-1 7-6(4) 6-2,2006,m,Daniele Bracciali,Yen-Hsun Lu,57%,57%,80%,58%,49%,33%,60%,9%,52%,33%,69%,0%
First,Mario Ancic,6-4 4-6 6-3 6-4,2006,m,Mario Ancic,Agustin Calleri,57%,51%,78%,68%,43%,50%,32%,40%,41%,37%,54%,64%
First,David Ferrer,4-6 6-3 6-1 6-4,2006,m,David Ferrer,Florent Serra,65%,63%,61%,64%,51%,24%,50%,60%,51%,42%,58%,64%
First,Fabrice Santoro,3-6 6-0 6-2 6-3,2006,m,Fabrice Santoro,Vince Spadea,57%,54%,68%,58%,65%,41%,44%,50%,50%,33%,75%,62%
First,Jean-Christophe Faurel,7-6(5) 6-3 7-6(2),2006,m,Jean-Christophe Faurel,Alexander Waske,72%,68%,77%,70%,52%,36%,43%,100%,41%,30%,76%,51%
First,Robby Ginepri,6-1 6-4 6-2,2006,m,Robby Ginepri,Jurgen Melzer,51%,52%,78%,46%,50%,41%,57%,75%,57%,36%,71%,46%
First,Jan Hernych,2-6 6-3 7-6(5) 6-2,2006,m,Jan Hernych,Fernando Vicente,71%,67%,71%,66%,49%,50%,31%,30%,39%,36%,68%,61%
First,Radek Stepanek,6-1 6-2 6-2,2006,m,Radek Stepanek,Bjorn Rehnquist,58%,59%,71%,50%,73%,45%,86%,0%,52%,28%,67%,67%
First,Wesley Moodie,3-6 7-6(5) 6-4 6-2,2006,m,Wesley Moodie,Oscar Hernandez,63%,64%,77%,70%,55%,56%,25%,10%,35%,31%,46%,65%
First,Thomas Johansson,6-1 7-6(3) 6-4,2006,m,Thomas Johansson,Cyril Saulnier,54%,50%,82%,64%,58%,47%,31%,13%,43%,28%,100%,50%
First,Guillermo Garcia-Lopez,7-6(4) 6-3 7-6(4),2006,m,Guillermo Garcia-Lopez,Taylor Dent,64%,52%,79%,80%,47%,43%,67%,38%,38%,32%,70%,58%
First,Tommy Robredo,6-4 7-6(6) 6-3,2006,m,Tommy Robredo,Jiri Vanek,72%,66%,73%,71%,55%,37%,27%,20%,41%,32%,69%,72%
First,David Nalbandian,6-2 6-2 1-6 6-7(4) 6-1,2006,m,David Nalbandian,Danai Udomchoke,62%,56%,66%,64%,44%,38%,60%,24%,44%,41%,78%,50%
First,Tomas Berdych,7-5 6-3 6-7(2) 6-1,2006,m,Tomas Berdych,Bobby Reynolds,53%,57%,80%,67%,45%,42%,67%,20%,44%,36%,63%,62%
First,Dmitry Tursunov,5-7 6-3 6-4 7-5,2006,m,Dmitry Tursunov,Tim Henman,56%,65%,73%,60%,40%,43%,50%,38%,46%,42%,56%,56%
First,Jimmy Wang,6-2 7-5 4-1 ret.,2006,m,Jimmy Wang,Mariano Zabaleta,61%,51%,72%,60%,66%,42%,35%,29%,49%,31%,70%,63%
First,James Blake,6-2 6-3 4-6 7-6(4),2006,m,James Blake,Jose Acasuso,55%,53%,70%,64%,53%,53%,35%,31%,41%,38%,78%,63%
First,Julien Benneteau,6-2 6-1 3-0 ret.,2006,m,Julien Benneteau,Marcos Daniel,70%,72%,74%,49%,80%,29%,60%,0%,57%,24%,92%,71%
First,Philipp Kohlschreiber,7-5 6-2 6-4,2006,m,Philipp Kohlschreiber,Lukas Dlouhy,54%,55%,84%,57%,59%,50%,38%,29%,46%,27%,60%,52%
First,Stanislas Wawrinka,4-6 6-2 6-3 6-0,2006,m,Stanislas Wawrinka,Albert Montanes,53%,60%,85%,64%,51%,56%,75%,50%,40%,31%,64%,56%
First,Jarkko Nieminen,6-2 6-3 6-1,2006,m,Jarkko Nieminen,Marc Kimmich,73%,46%,73%,58%,48%,42%,88%,50%,51%,34%,91%,56%
First,Denis Gremelmayr,3-6 6-2 6-0 6-1,2006,m,Denis Gremelmayr,Jonas Bjorkman,55%,53%,75%,54%,55%,39%,73%,40%,53%,34%,60%,60%
First,Ivan Ljubicic,7-6(5) 6-4 7-6(3),2006,m,Ivan Ljubicic,Chris Guccione,63%,61%,84%,82%,66%,46%,20%,33%,32%,23%,75%,60%
First,Andrei Pavel,6-4 7-6(5) 4-6 3-6 6-4,2006,m,Andrei Pavel,Carlos Moya,68%,55%,70%,70%,41%,47%,27%,75%,39%,39%,69%,60%
First,Xavier Malisse,7-5 5-7 6-4 6-2,2006,m,Xavier Malisse,Mikhail Youzhny,49%,50%,75%,63%,50%,44%,47%,46%,46%,38%,81%,62%
First,Andy Roddick,6-4 6-2 6-2,2006,m,Andy Roddick,Michael Lammer,58%,58%,85%,60%,45%,35%,67%,33%,50%,32%,56%,59%
First,Marcos Baghdatis,7-6(6) 7-5 6-0,2006,m,Marcos Baghdatis,Justin Gimelstob,46%,54%,87%,60%,56%,46%,40%,50%,46%,30%,38%,49%
First,Gilles Simon,7-6(6) 6-2 3-6 4-6 6-3,2006,m,Gilles Simon,Nicolas Massu,53%,59%,67%,63%,50%,47%,38%,41%,44%,41%,72%,71%
Final,Roger Federer,7-6(2) 6-4 6-4,2007,m,Roger Federer,Fernando Gonzalez,58%,61%,82%,69%,78%,46%,30%,100%,40%,20%,79%,64%
semi,Fernando Gonzalez,6-1 6-3 6-1,2007,m,Fernando Gonzalez,Tommy Haas,63%,60%,87%,63%,64%,26%,58%,40.0%,51%,22%,72%,55%
semi,Roger Federer,6-4 6-0 6-2,2007,m,Roger Federer,Andy Roddick,51%,63%,81%,54%,68%,29%,100%,100%,55%,25%,91%,29%
quarter,Tommy Haas,6-3 2-6 1-6 6-1 7-5,2007,m,Tommy Haas,Nikolay Davydenko,59%,70%,69%,62%,48%,55%,38%,60%,40%,37%,58%,78%
quarter,Fernando Gonzalez,6-2 6-4 6-3,2007,m,Fernando Gonzalez,Rafael Nadal,66%,71%,73%,70%,61%,35%,63%,0%,40%,31%,80%,65%
quarter,Roger Federer,6-3 7-6(2) 7-5,2007,m,Roger Federer,Tommy Robredo,63%,61%,72%,63%,58%,37%,50%,50%,47%,33%,73%,57%
quarter,Andy Roddick,6-2 6-2 6-2,2007,m,Andy Roddick,Mardy Fish,62%,44%,92%,65%,52%,31%,54%,100%,54%,23%,82%,53%
Fourth,Tommy Haas,4-6 6-3 6-2 6-3,2007,m,Tommy Haas,David Nalbandian,71%,55%,76%,63%,45%,49%,55%,29%,43%,33%,82%,74%
Fourth,Nikolay Davydenko,5-7 6-4 6-1 7-6(5),2007,m,Nikolay Davydenko,Tomas Berdych,58%,57%,76%,68%,56%,46%,43%,25%,41%,33%,86%,52%
Fourth,Fernando Gonzalez,7-5 6-4 7-6(4),2007,m,Fernando Gonzalez,James Blake,70%,50%,75%,75%,55%,46%,38%,38%,40%,31%,75%,69%
Fourth,Rafael Nadal,6-7(3) 6-4 4-6 6-3 6-1,2007,m,Rafael Nadal,Andy Murray,73%,53%,69%,74%,55%,43%,44%,18%,38%,35%,72%,69%
Fourth,Tommy Robredo,6-4 6-2 3-6 6-4,2007,m,Tommy Robredo,Richard Gasquet,63%,78%,78%,60%,55%,55%,19%,33%,41%,30%,78%,68%
Fourth,Mardy Fish,6-1 7-6(4) 2-6 7-5,2007,m,Mardy Fish,David Ferrer,52%,69%,75%,68%,57%,49%,80%,60%,38%,34%,63%,64%
Fourth,Roger Federer,6-2 7-5 6-3,2007,m,Roger Federer,Novak Djokovic,63%,61%,80%,61%,67%,46%,63%,50%,45%,25%,63%,54%
Fourth,Andy Roddick,6-3 3-6 6-1 5-7 6-4,2007,m,Andy Roddick,Mario Ancic,69%,64%,79%,73%,49%,60%,36%,75%,31%,30%,62%,63%
Third,Tommy Haas,7-6(3) 6-3 6-3,2007,m,Tommy Haas,Florian Mayer,66%,60%,75%,58%,52%,49%,50%,33%,46%,33%,77%,71%
Third,Tomas Berdych,6-2 6-1 6-1,2007,m,Tomas Berdych,Dmitry Tursunov,59%,52%,88%,50%,58%,38%,54%,29.0%,56%,24%,82%,38%
Third,James Blake,7-6(7) 7-5 6-2,2007,m,James Blake,Robby Ginepri,63%,58%,80%,62%,66%,55%,46%,75%,41%,25%,68%,65%
Third,David Nalbandian,5-7 4-6 7-6(4) 6-4 6-1,2007,m,David Nalbandian,Sebastien Grosjean,63%,53%,68%,74%,49%,37%,36%,35%,43%,38%,84%,67%
Third,Nikolay Davydenko,7-6(1) 6-2 6-2,2007,m,Nikolay Davydenko,Fabrice Santoro,62%,50%,75%,64%,63%,50%,63%,50%,43%,29%,74%,41%
Third,Rafael Nadal,6-2 6-2 6-2,2007,m,Rafael Nadal,Stanislas Wawrinka,74%,57%,84%,58%,39%,33%,64%,100%,53%,27%,73%,62%
Third,Fernando Gonzalez,6-2 6-2 5-7 6-4,2007,m,Fernando Gonzalez,Lleyton Hewitt,66%,58%,73%,77%,66%,33%,32%,67%,41%,29%,72%,61%
Third,Andy Murray,6-3 6-2 6-4,2007,m,Andy Murray,Juan Ignacio Chela,71%,67%,69%,61%,48%,29%,40%,50%,49%,37%,73%,60%
Third,Novak Djokovic,6-3 6-4 5-7 6-1,2007,m,Novak Djokovic,Danai Udomchoke,74%,53%,68%,64%,55%,47%,47%,33%,44%,36%,69%,63%
Third,Andy Roddick,7-6(2) 2-6 6-4 7-6(2),2007,m,Andy Roddick,Marat Safin,65%,61%,73%,74%,58%,46%,25%,57%,37%,32%,63%,69%
Third,Mardy Fish,3-0 ret.,2007,m,Mardy Fish,Wayne Arthurs,75%,50%,100%,20%,100%,20%,67%,39.0%,80%,0%,71.0%,59.0%
Third,David Ferrer,6-7(5) 4-6 6-0 6-4 6-3,2007,m,David Ferrer,Radek Stepanek,65%,59%,73%,66%,38%,36%,34%,46%,44%,39%,66%,50%
Third,Mario Ancic,6-3 6-2 6-1,2007,m,Mario Ancic,Dominik Hrbaty,76%,51%,74%,47%,50%,41%,88%,17%,56%,32%,80%,42%
Third,Richard Gasquet,6-0 4-6 7-5 6-3,2007,m,Richard Gasquet,Gael Monfils,76%,65%,79%,63%,58%,51%,67%,29%,41%,26%,63%,64%
Third,Roger Federer,6-3 6-3 7-6(5),2007,m,Roger Federer,Mikhail Youzhny,53%,54%,83%,78%,53%,39%,50%,25%,40%,31%,80%,50%
Third,Tommy Robredo,6-4 6-7(5) 6-2 6-1,2007,m,Tommy Robredo,Sam Querrey,69%,59%,78%,75%,69%,44%,63%,0%,38%,25%,75%,66%
Second,Tommy Haas,7-6(3) 6-1 6-3,2007,m,Tommy Haas,Ilija Bozoljac,76%,47%,86%,82%,67%,39%,44%,43.0%,41%,18%,82%,50%
Second,Sebastien Grosjean,4-6 6-1 6-3 4-6 6-4,2007,m,Sebastien Grosjean,Olivier Rochus,50%,69%,79%,64%,49%,44%,32%,27%,40%,36%,61%,75%
Second,Lleyton Hewitt,6-4 6-4 3-6 6-4,2007,m,Lleyton Hewitt,Frank Dancevic,47%,53%,80%,75%,50%,49%,83%,43%,38%,36%,80%,52%
Second,Fabrice Santoro,6-2 6-4 6-4,2007,m,Fabrice Santoro,Arnaud Clement,48%,65%,83%,67%,67%,41%,36%,0%,42%,25%,62%,56%
Second,Juan Ignacio Chela,6-3 2-6 6-4 6-4,2007,m,Juan Ignacio Chela,Jarkko Nieminen,59%,60%,72%,69%,57%,48%,42%,50%,39%,34%,83%,80%
Second,Rafael Nadal,7-5 6-3 4-6 6-2,2007,m,Rafael Nadal,Philipp Kohlschreiber,65%,53%,70%,60%,50%,50%,33%,31%,45%,37%,67%,62%
Second,Robby Ginepri,6-4 7-5 6-1,2007,m,Robby Ginepri,Mischa Zverev,65%,66%,75%,65%,49%,39%,25%,17%,44%,34%,67%,55%
Second,Dmitry Tursunov,6-2 6-3 7-6(4),2007,m,Dmitry Tursunov,Max Mirnyi,53%,67%,84%,65%,51%,42%,44%,20%,42%,32%,64%,48%
Second,Nikolay Davydenko,6-4 6-0 6-3,2007,m,Nikolay Davydenko,Gilles Muller,67%,67%,74%,59%,62%,41%,60%,0%,47%,30%,70%,48%
Second,David Nalbandian,6-4 6-4 6-4,2007,m,David Nalbandian,Nicolas Lapentti,62%,68%,86%,71%,63%,57%,43%,0%,33%,23%,76%,85%
Second,Florian Mayer,5-7 7-5 6-2 6-2,2007,m,Florian Mayer,Andreas Seppi,52%,53%,65%,60%,50%,41%,53%,50%,49%,42%,53%,61%
Second,James Blake,6-4 6-1 6-2,2007,m,James Blake,Alex Kuznetsov,61%,59%,76%,68%,63%,20%,64%,100%,51%,29%,83%,46%
Second,Fernando Gonzalez,7-6(7) 4-6 6-7(3) 6-4 4-0 ret.,2007,m,Fernando Gonzalez,Juan Martin Del Potro,61%,60%,80%,67%,47%,54%,60%,57%,37%,32%,70%,57%
Second,Andy Murray,7-6(4) 7-5 6-4,2007,m,Andy Murray,Fernando Verdasco,52%,63%,67%,61%,50%,35%,41%,63%,49%,41%,75%,62%
Second,Stanislas Wawrinka,6-4 6-3 6-2,2007,m,Stanislas Wawrinka,Paul Capdeville,65%,70%,85%,66%,50%,39%,56%,50%,42%,28%,62%,78%
Second,Tomas Berdych,6-3 6-2 6-4,2007,m,Tomas Berdych,Robert Smeets,65%,54%,77%,70%,49%,33%,26%,11%,47%,33%,82%,67%
Second,Radek Stepanek,4-6 4-6 6-4 6-1 6-4,2007,m,Radek Stepanek,Lukas Dlouhy,66%,64%,70%,78%,56%,43%,55%,29%,35%,35%,59%,72%
Second,Gael Monfils,7-6(5) 6-2 2-6 6-0,2007,m,Gael Monfils,Marcos Baghdatis,57%,54%,69%,73%,54%,45%,35%,33%,40%,37%,68%,48%
Second,Novak Djokovic,6-2 7-5 6-1,2007,m,Novak Djokovic,Feliciano Lopez,69%,59%,69%,64%,67%,32%,40%,20%,49%,31%,56%,49%
Second,David Ferrer,6-2 6-7(5) 6-2 6-2,2007,m,David Ferrer,Thomas Johansson,61%,53%,73%,74%,64%,41%,54%,25%,42%,30%,73%,58%
Second,Mikhail Youzhny,7-5 6-4 6-4,2007,m,Mikhail Youzhny,Yen-Hsun Lu,47%,51%,78%,58%,46%,46%,47%,33%,48%,39%,77%,55%
Second,Tommy Robredo,6-1 6-3 6-3,2007,m,Tommy Robredo,Jurgen Melzer,67%,67%,70%,45%,52%,42%,50%,40%,56%,36%,75%,55%
Second,Mardy Fish,7-5 6-4 3-6 6-4,2007,m,Mardy Fish,Nicolas Mahut,53%,53%,87%,73%,43%,52%,36%,50%,37%,34%,60%,64%
Second,Andy Roddick,6-3 7-6(4) 6-4,2007,m,Andy Roddick,Marc Gicquel,67%,52%,84%,81%,61%,53%,33%,0%,32%,24%,61%,76%
Second,Wayne Arthurs,6-7(5) 6-1 6-4 6-4,2007,m,Wayne Arthurs,Zack Fleishman,64%,47%,81%,83%,53%,47%,63%,25%,36%,29%,64%,78%
Second,Mario Ancic,3-6 7-5 6-2 6-2,2007,m,Mario Ancic,Guillermo Garcia-Lopez,70%,60%,67%,61%,59%,50%,58%,67%,43%,36%,70%,74%
Second,Roger Federer,6-2 6-3 6-2,2007,m,Roger Federer,Jonas Bjorkman,64%,60%,74%,52%,67%,38%,58%,100%,53%,29%,76%,47%
Second,Marat Safin,6-3 5-7 4-6 7-6(4) 6-0,2007,m,Marat Safin,Dudi Sela,65%,56%,64%,59%,49%,51%,50%,45%,42%,40%,64%,73%
Second,Dominik Hrbaty,5-7 6-4 6-4 6-3,2007,m,Dominik Hrbaty,Vince Spadea,54%,58%,70%,64%,52%,45%,28%,31%,44%,39%,88%,62%
Second,Richard Gasquet,6-1 6-2 6-4,2007,m,Richard Gasquet,Amer Delic,66%,51%,85%,60%,64%,42%,71%,0%,49%,22%,81%,48%
Second,Sam Querrey,6-3 6-4 6-3,2007,m,Sam Querrey,Florent Serra,61%,65%,85%,66%,63%,41%,33%,36.0%,43%,24%,70%,56%
Second,Danai Udomchoke,7-6(0) 7-5 4-6 6-1,2007,m,Danai Udomchoke,Juan Carlos Ferrero,58%,66%,73%,64%,49%,41%,30%,31%,44%,37%,79%,65%
First,Alex Kuznetsov,6-4 5-7 6-7(5) 6-1 6-4,2007,m,Alex Kuznetsov,Peter Luczak,63%,66%,78%,72%,50%,45%,41%,36%,37%,31%,77%,59%
First,James Blake,7-6(8) 6-2 6-4,2007,m,James Blake,Carlos Moya,57%,66%,82%,72%,73%,31%,60%,0%,42%,22%,86%,82%
First,Olivier Rochus,3-6 7-5 7-5 6-7(4) 9-7,2007,m,Olivier Rochus,Chris Guccione,64%,64%,85%,81%,58%,43%,25%,9%,33%,24%,85%,52%
First,Nicolas Lapentti,6-4 6-4 6-2,2007,m,Nicolas Lapentti,Alan Mackin,66%,61%,70%,60%,52%,41%,40%,20%,47%,36%,75%,60%
First,Sebastien Grosjean,6-2 4-1 ret.,2007,m,Sebastien Grosjean,Christophe Rochus,42%,74%,100%,56%,83%,33%,30%,43.0%,50%,10%,80%,70%
First,Mischa Zverev,6-4 7-6(1) 3-6 6-4,2007,m,Mischa Zverev,Michael Berrer,65%,59%,70%,74%,56%,39%,50%,22%,40%,35%,56%,63%
First,Andy Murray,6-0 6-0 6-1,2007,m,Andy Murray,Alberto Martin,47%,48%,88%,39%,68%,33%,53%,38.0%,64%,23%,86%,50%
First,Fernando Gonzalez,6-7(4) 7-6(6) 6-3 6-2,2007,m,Fernando Gonzalez,Evgeny Korolev,64%,69%,84%,83%,64%,53%,60%,0%,27%,23%,54%,64%
First,Robert Smeets,6-2 3-6 6-1 6-4,2007,m,Robert Smeets,Lukas Lacko,52%,59%,87%,66%,56%,55%,36%,17%,39%,28%,79%,65%
First,Jarkko Nieminen,5-7 6-2 7-6(4) 6-4,2007,m,Jarkko Nieminen,Paul Goldstein,56%,49%,72%,65%,41%,46%,53%,35%,44%,42%,62%,67%
First,Andreas Seppi,6-1 6-7(4) 6-7(5) 7-6(3) 6-3,2007,m,Andreas Seppi,Bobby Reynolds,50%,54%,82%,77%,58%,42%,50%,29%,40%,30%,75%,87%
First,Philipp Kohlschreiber,5-7 6-3 6-2 6-4,2007,m,Philipp Kohlschreiber,Kristof Vliegen,61%,62%,76%,68%,52%,43%,30%,20%,41%,33%,67%,48%
First,Rafael Nadal,7-6(6) 6-3 6-2,2007,m,Rafael Nadal,Robert Kendrick,61%,57%,75%,75%,71%,38%,43%,34.0%,41%,26%,72%,54%
First,Gilles Muller,6-0 4-6 6-2 6-3,2007,m,Gilles Muller,Gaston Gaudio,66%,57%,80%,64%,59%,43%,86%,25%,45%,27%,65%,50%
First,Max Mirnyi,7-6(4) 3-6 2-6 6-4 6-4,2007,m,Max Mirnyi,Luis Horna,55%,75%,79%,70%,47%,51%,16%,36%,35%,36%,49%,72%
First,Tommy Haas,7-5 6-1 7-6(3),2007,m,Tommy Haas,Albert Montanes,69%,68%,84%,66%,72%,41%,33%,100%,42%,20%,68%,56%
First,Fernando Verdasco,6-7(5) 4-6 6-6(1) ret.,2007,m,Fernando Verdasco,Paul-Henri Mathieu,61%,58%,63%,81%,67%,54%,17%,13%,30%,36%,74%,73%
First,Lleyton Hewitt,3-6 2-6 6-3 6-3 6-3,2007,m,Lleyton Hewitt,Michael Russell,51%,76%,77%,64%,53%,41%,78%,67%,42%,34%,55%,68%
First,Frank Dancevic,6-3 6-3 7-6(3),2007,m,Frank Dancevic,Victor Hanescu,63%,72%,84%,64%,53%,48%,40%,33%,41%,28%,58%,61%
First,Paul Capdeville,4-6 6-7(4) 6-2 6-1 6-2,2007,m,Paul Capdeville,Julien Benneteau,60%,68%,62%,52%,43%,26%,63%,63%,56%,46%,63%,69%
First,Florian Mayer,3-6 6-4 3-6 6-4 6-0,2007,m,Florian Mayer,Robin Soderling,59%,64%,74%,74%,53%,40%,46%,57%,38%,34%,78%,59%
First,Juan Ignacio Chela,7-6(5) 6-4 6-4,2007,m,Juan Ignacio Chela,Potito Starace,56%,67%,68%,66%,68%,44%,38%,50%,41%,32%,62%,59%
First,Tomas Berdych,6-1 6-2 6-2,2007,m,Tomas Berdych,Hyung-Taik Lee,47%,68%,89%,46%,56%,21%,88%,13%,62%,28%,67%,38%
First,David Nalbandian,6-7(5) 4-6 7-6(2) 6-0 2-1 ret.,2007,m,David Nalbandian,Janko Tipsarevic,59%,54%,73%,72%,45%,31%,43%,38%,43%,36%,71%,55%
First,Dmitry Tursunov,5-7 6-4 6-3 6-4,2007,m,Dmitry Tursunov,Alexander Waske,53%,59%,87%,72%,63%,50%,50%,67%,37%,24%,52%,59%
First,Fabrice Santoro,7-6(5) 6-3 6-0,2007,m,Fabrice Santoro,Igor Kunitsyn,52%,56%,85%,57%,47%,41%,54%,40%,50%,34%,62%,63%
First,Ilija Bozoljac,6-2 6-4 6-1,2007,m,Ilija Bozoljac,Marin Cilic,62%,45%,82%,85%,75%,29%,75%,24.0%,46%,21%,71%,40%
First,Robby Ginepri,4-6 6-2 4-6 7-5 6-3,2007,m,Robby Ginepri,Nicolas Almagro,64%,55%,78%,76%,54%,47%,38%,43%,37%,31%,75%,54%
First,Nikolay Davydenko,6-2 7-5 6-2,2007,m,Nikolay Davydenko,Sergio Roitman,65%,62%,80%,56%,50%,49%,38%,50%,47%,31%,71%,67%
First,Stanislas Wawrinka,6-1 2-6 6-4 6-2,2007,m,Stanislas Wawrinka,Kevin Kim,64%,64%,66%,67%,54%,27%,70%,29%,47%,39%,71%,67%
First,Juan Martin Del Potro,6-3 6-3 6-1,2007,m,Juan Martin Del Potro,Alessio di Mauro,69%,51%,73%,57%,77%,43%,60%,25%,50%,26%,78%,54%
First,Arnaud Clement,6-3 3-6 7-5 6-4,2007,m,Arnaud Clement,Xavier Malisse,55%,52%,75%,67%,56%,55%,55%,67%,39%,34%,66%,69%
First,Vince Spadea,6-2 7-6(3) 6-1,2007,m,Vince Spadea,Igor Andreev,70%,62%,67%,57%,65%,37%,44%,33%,51%,34%,68%,47%
First,Wayne Arthurs,1-6 6-7(4) 7-6(5) 6-2 6-3,2007,m,Wayne Arthurs,Stefan Koubek,57%,66%,75%,64%,48%,55%,47%,50%,37%,35%,50%,75%
