round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
First,Nikolay Davydenko,6-2 7-5 6-2,2005,m,Nikolay Davydenko,Roko Karanusic,69%,59%,66%,47%,67%,47%,42%,75%,53%,36%,80%,56%
First,Ricardo Mello,6-3 6-3 7-6(5),2005,m,Ricardo Mello,Alberto Martin,69%,60%,80%,65%,42%,38%,38%,60%,48%,34%,76%,63%
First,Fernando Verdasco,6-3 6-0 6-4,2005,m,Fernando Verdasco,Gilles Muller,64%,59%,82%,60%,65%,45%,33%,50%,48%,26%,89%,50%
First,Jurgen Melzer,3-3 ret.,2005,m,Jurgen Melzer,Raemon Sluiter,41%,40%,71%,50%,56%,55%,50%,100%,50%,41%,67%,50%
First,Andy Roddick,7-5 6-2 6-1,2005,m,Andy Roddick,Irakli Labadze,66%,67%,85%,54%,75%,70%,56%,0%,47%,18%,69%,30%
First,Guillermo Coria,6-2 6-4 6-0,2005,m,Guillermo Coria,Tomas Berdych,62%,47%,81%,56%,67%,39%,70%,50%,54%,29%,88%,38%
First,Tim Henman,6-1 6-2 4-6 6-3,2005,m,Tim Henman,Cyril Saulnier,63%,61%,68%,59%,62%,49%,57%,23%,47%,37%,62%,44%
First,Sebastien Grosjean,6-3 6-4 6-3,2005,m,Sebastien Grosjean,Michael Llodra,65%,64%,73%,64%,50%,37%,50%,25%,48%,36%,79%,55%
First,Jan Hernych,6-4 6-7(5) 6-1 6-0,2005,m,Jan Hernych,Felix Mantilla,71%,54%,82%,61%,57%,45%,41%,50%,47%,25%,79%,58%
First,Guillermo Canas,6-4 6-2 7-6(4),2005,m,Guillermo Canas,Chris Guccione,69%,55%,80%,68%,47%,44%,25%,14%,43%,30%,76%,52%
First,Nicolas Massu,6-7(7) 7-6(2) 6-3 6-2,2005,m,Nicolas Massu,Antony Dupuis,57%,55%,81%,71%,67%,57%,25%,10%,38%,28%,67%,71%
First,Gregory Carraz,6-4 5-7 7-5 7-6(5),2005,m,Gregory Carraz,Paul-Henri Mathieu,57%,60%,78%,66%,50%,53%,38%,45%,42%,38%,49%,76%
First,Radek Stepanek,6-3 5-7 4-6 7-5 6-3,2005,m,Radek Stepanek,Vince Spadea,59%,65%,77%,68%,59%,71%,31%,18%,33%,33%,64%,61%
First,Andrei Pavel,6-4 6-4 6-0,2005,m,Andrei Pavel,Olivier Mutis,72%,51%,76%,57%,55%,48%,55%,33%,48%,31%,78%,55%
First,James Blake,6-1 6-2 6-0,2005,m,James Blake,Florian Mayer,53%,44%,83%,54%,69%,44%,58%,0%,55%,28%,77%,58%
First,Christophe Rochus,6-2 6-3 6-3,2005,m,Christophe Rochus,Albert Montanes,68%,64%,80%,64%,60%,28%,43%,50%,50%,28%,71%,50%
First,Dominik Hrbaty,6-4 6-2 1-0 ret.,2005,m,Dominik Hrbaty,Robin Soderling,58%,45%,74%,55%,63%,41%,83%,33%,55%,37%,100%,0%
First,Takao Suzuki,6-4 6-3 6-3,2005,m,Takao Suzuki,Jan-Michael Gambill,63%,57%,80%,76%,69%,49%,67%,0%,37%,25%,70%,67%
First,Tomas Zib,7-6(5) 6-2 6-4,2005,m,Tomas Zib,Jimmy Wang,63%,63%,59%,64%,53%,26%,47%,83%,51%,44%,78%,69%
First,Feliciano Lopez,7-5 7-5 6-2,2005,m,Feliciano Lopez,Paul Baccanello,54%,46%,82%,76%,76%,64%,67%,0%,36%,25%,64%,60%
First,Thomas Johansson,7-6(5) 4-6 6-3 4-6 6-0,2005,m,Thomas Johansson,Peter Luczak,50%,58%,82%,67%,53%,57%,38%,50%,37%,33%,69%,73%
First,Olivier Rochus,7-5 2-6 3-6 6-2 6-3,2005,m,Olivier Rochus,Nicolas Kiefer,57%,58%,67%,62%,52%,51%,41%,35%,43%,39%,67%,58%
First,Sargis Sargsian,7-6(5) 4-6 1-6 6-4 6-2,2005,m,Sargis Sargsian,David Sanchez-Munoz,60%,64%,76%,65%,41%,53%,75%,64%,40%,38%,56%,67%
First,Kevin Kim,3-6 6-4 6-3 3-6 6-1,2005,m,Kevin Kim,Hyung-Taik Lee,65%,66%,73%,65%,50%,50%,29%,50%,41%,36%,63%,62%
First,Peter Wessels,6-3 6-4 6-4,2005,m,Peter Wessels,Yen-Hsun Lu,63%,63%,87%,71%,73%,43%,80%,100%,40%,18%,64%,46%
